"FFQ0114.Code.or.Value","FFQ0114.Value.Description","FFQ0114.Count","FFQ0114.Cumulative","FFQ0114.Skip.to.Item"
1,"never",431,431,NA
2,"1-6 times per year",1618,2049,NA
3,"7-11 times per year",1267,3316,NA
4,"1 time per month",1053,4369,NA
5,"2-3 times per month",939,5308,NA
6,"1 time per week",318,5626,NA
7,"2 times per week",180,5806,NA
8,"3-4 times per week",91,5897,NA
9,"5-6 times per week",22,5919,NA
10,"1 time per day",17,5936,NA
11,"2 or more times per day",13,5949,NA
88,"Blank",52,6001,NA
99,"Error",12,6013,NA
