"FFQ0061.Code.or.Value","FFQ0061.Value.Description","FFQ0061.Count","FFQ0061.Cumulative","FFQ0061.Skip.to.Item"
1,"never",768,768,NA
2,"1-6 times per year",1204,1972,NA
3,"7-11 times per year",762,2734,NA
4,"1 time per month",789,3523,NA
5,"2-3 times per month",1270,4793,NA
6,"1 time per week",535,5328,NA
7,"2 times per week",390,5718,NA
8,"3-4 times per week",165,5883,NA
9,"5-6 times per week",40,5923,NA
10,"1 time per day",21,5944,NA
11,"2 or more times per day",13,5957,NA
88,"Blank",40,5997,NA
99,"Error",16,6013,NA
