"FFQ0120.Code.or.Value","FFQ0120.Value.Description","FFQ0120.Count","FFQ0120.Cumulative","FFQ0120.Skip.to.Item"
1,"never",499,499,NA
2,"1-6 times per year",802,1301,NA
3,"7-11 times per year",535,1836,NA
4,"1 time per month",719,2555,NA
5,"2-3 times per month",1026,3581,NA
6,"1 time per week",776,4357,NA
7,"2 times per week",639,4996,NA
8,"3-4 times per week",470,5466,NA
9,"5-6 times per week",185,5651,NA
10,"1 time per day",182,5833,NA
11,"2 or more times per day",90,5923,NA
88,"Blank",77,6000,NA
99,"Error",13,6013,NA
