"FFQ0043A.Code.or.Value","FFQ0043A.Value.Description","FFQ0043A.Count","FFQ0043A.Cumulative","FFQ0043A.Skip.to.Item"
1,"never",371,371,NA
2,"1-6 times per season",836,1207,NA
3,"7-11 times per season",248,1455,NA
4,"1 time per month",289,1744,NA
5,"2-3 times per month",428,2172,NA
6,"1 time per week",340,2512,NA
7,"2 times per week",248,2760,NA
8,"3-4 times per week",117,2877,NA
9,"5-6 times per week",26,2903,NA
10,"1 time per day",35,2938,NA
11,"2 or more times per day",5,2943,NA
88,"Blank",3047,5990,NA
99,"Error",23,6013,NA
