"FFQ0080.Code.or.Value","FFQ0080.Value.Description","FFQ0080.Count","FFQ0080.Cumulative","FFQ0080.Skip.to.Item"
1,"never",880,880,"FFQ0081"
2,"1-6 times per year",1295,2175,""
3,"7-11 times per year",780,2955,""
4,"1 time per month",900,3855,""
5,"2-3 times per month",1136,4991,""
6,"1 time per week",524,5515,""
7,"2 times per week",259,5774,""
8,"3-4 times per week",95,5869,""
9,"5-6 times per week",20,5889,""
10,"1 time per day",22,5911,""
11,"2 or more times per day",8,5919,""
88,"Blank",79,5998,""
99,"Error",15,6013,""
