"FFQ0139.Code.or.Value","FFQ0139.Value.Description","FFQ0139.Count","FFQ0139.Cumulative","FFQ0139.Skip.to.Item"
1,"never",603,603,NA
2,"1-6 times per year",520,1123,NA
3,"7-11 times per year",514,1637,NA
4,"1 time per month",338,1975,NA
5,"2-3 times per month",783,2758,NA
6,"1 time per week",539,3297,NA
7,"2 times per week",737,4034,NA
8,"3-4 times per week",834,4868,NA
9,"5-6 times per week",446,5314,NA
10,"1 time per day",342,5656,NA
11,"2 or more times per day",212,5868,NA
88,"Blank",130,5998,NA
99,"Error",15,6013,NA
