"FFQ0133.Code.or.Value","FFQ0133.Value.Description","FFQ0133.Count","FFQ0133.Cumulative","FFQ0133.Skip.to.Item"
1,"never",1469,1469,"FFQ0134"
2,"1-6 times per year",760,2229,""
3,"7-11 times per year",484,2713,""
4,"1 time per month",424,3137,""
5,"2-3 times per month",757,3894,""
6,"1 time per week",489,4383,""
7,"2 times per week",515,4898,""
8,"3-4 times per week",471,5369,""
9,"5-6 times per week",185,5554,""
10,"1 time per day",240,5794,""
11,"2 or more times per day",87,5881,""
88,"Blank",122,6003,""
99,"Error",10,6013,""
