"FFQ0098.Code.or.Value","FFQ0098.Value.Description","FFQ0098.Count","FFQ0098.Cumulative","FFQ0098.Skip.to.Item"
1,"never",268,268,"FFQ0099"
2,"1-6 times per year",792,1060,""
3,"7-11 times per year",717,1777,""
4,"1 time per month",1049,2826,""
5,"2-3 times per month",1675,4501,""
6,"1 time per week",872,5373,""
7,"2 times per week",323,5696,""
8,"3-4 times per week",130,5826,""
9,"5-6 times per week",50,5876,""
10,"1 time per day",24,5900,""
11,"2 or more times per day",27,5927,""
88,"Blank",71,5998,""
99,"Error",15,6013,""
