"FFQ0038.Code.or.Value","FFQ0038.Value.Description","FFQ0038.Count","FFQ0038.Cumulative","FFQ0038.Skip.to.Item"
1,"never",1273,1273,NA
2,"1-6 times per year",1200,2473,NA
3,"7-11 times per year",579,3052,NA
4,"1 time per month",630,3682,NA
5,"2-3 times per month",882,4564,NA
6,"1 time per week",490,5054,NA
7,"2 times per week",464,5518,NA
8,"3-4 times per week",269,5787,NA
9,"5-6 times per week",69,5856,NA
10,"1 time per day",56,5912,NA
11,"2 or more times per day",12,5924,NA
88,"Blank",69,5993,NA
99,"Error",20,6013,NA
