"DRD030.Code.or.Value","DRD030.Value.Description","DRD030.Count","DRD030.Cumulative","DRD030.Skip.to.Item"
"1","Breakfast",21390,21390,NA
"2","Brunch",1335,22725,NA
"3","Lunch",26739,49464,NA
"4","Snack/beverage",26641,76105,NA
"5","Dinner/supper",32031,108136,NA
"6","Infant feeding",4067,112203,NA
"7","Extended consumption",1599,113802,NA
"8","Other",55,113857,NA
"9","Desayuno (Spanish)",2184,116041,NA
"10","Almuerzo (Spanish)",2255,118296,NA
"11","Comida (Spanish)",3964,122260,NA
"12","Merienda (Spanish)",839,123099,NA
"13","Cena (Spanish)",3643,126742,NA
"14","Entre comida/bebida (Spanish)",718,127460,NA
"15","Bocadillo (Spanish)",106,127566,NA
"16","Botana (Spanish)",270,127836,NA
"99","Don't know",4,127840,NA
".","Missing",0,127840,NA
