"FFQ0084.Code.or.Value","FFQ0084.Value.Description","FFQ0084.Count","FFQ0084.Cumulative","FFQ0084.Skip.to.Item"
1,"never",338,338,"FFQ0085"
2,"1-6 times per year",444,782,""
3,"7-11 times per year",614,1396,""
4,"1 time per month",674,2070,""
5,"2-3 times per month",1456,3526,""
6,"1 time per week",862,4388,""
7,"2 times per week",828,5216,""
8,"3-4 times per week",510,5726,""
9,"5-6 times per week",128,5854,""
10,"1 time per day",41,5895,""
11,"2 or more times per day",26,5921,""
88,"Blank",77,5998,""
99,"Error",15,6013,""
