"FFQ0134.Code.or.Value","FFQ0134.Value.Description","FFQ0134.Count","FFQ0134.Cumulative","FFQ0134.Skip.to.Item"
1,"never",2087,2087,"FFQ0135"
2,"1-6 times per year",558,2645,""
3,"7-11 times per year",393,3038,""
4,"1 time per month",342,3380,""
5,"2-3 times per month",687,4067,""
6,"1 time per week",376,4443,""
7,"2 times per week",480,4923,""
8,"3-4 times per week",453,5376,""
9,"5-6 times per week",181,5557,""
10,"1 time per day",143,5700,""
11,"2 or more times per day",48,5748,""
88,"Blank",255,6003,""
99,"Error",10,6013,""
