"FFQ0078.Code.or.Value","FFQ0078.Value.Description","FFQ0078.Count","FFQ0078.Cumulative","FFQ0078.Skip.to.Item"
1,"never",1391,1391,NA
2,"1-6 times per year",1424,2815,NA
3,"7-11 times per year",843,3658,NA
4,"1 time per month",779,4437,NA
5,"2-3 times per month",857,5294,NA
6,"1 time per week",341,5635,NA
7,"2 times per week",171,5806,NA
8,"3-4 times per week",95,5901,NA
9,"5-6 times per week",21,5922,NA
10,"1 time per day",20,5942,NA
11,"2 or more times per day",12,5954,NA
88,"Blank",49,6003,NA
99,"Error",10,6013,NA
