"FFQ0070.Code.or.Value","FFQ0070.Value.Description","FFQ0070.Count","FFQ0070.Cumulative","FFQ0070.Skip.to.Item"
1,"never",1055,1055,NA
2,"1-6 times per year",842,1897,NA
3,"7-11 times per year",622,2519,NA
4,"1 time per month",529,3048,NA
5,"2-3 times per month",1028,4076,NA
6,"1 time per week",541,4617,NA
7,"2 times per week",659,5276,NA
8,"3-4 times per week",428,5704,NA
9,"5-6 times per week",128,5832,NA
10,"1 time per day",86,5918,NA
11,"2 or more times per day",28,5946,NA
88,"Blank",51,5997,NA
99,"Error",16,6013,NA
