"FFQ0121.Code.or.Value","FFQ0121.Value.Description","FFQ0121.Count","FFQ0121.Cumulative","FFQ0121.Skip.to.Item"
1,"never",577,577,NA
2,"1-6 times per year",926,1503,NA
3,"7-11 times per year",507,2010,NA
4,"1 time per month",642,2652,NA
5,"2-3 times per month",964,3616,NA
6,"1 time per week",745,4361,NA
7,"2 times per week",634,4995,NA
8,"3-4 times per week",430,5425,NA
9,"5-6 times per week",175,5600,NA
10,"1 time per day",187,5787,NA
11,"2 or more times per day",132,5919,NA
88,"Blank",80,5999,NA
99,"Error",14,6013,NA
