"FFQ0090.Code.or.Value","FFQ0090.Value.Description","FFQ0090.Count","FFQ0090.Cumulative","FFQ0090.Skip.to.Item"
1,"never",1082,1082,"FFQ0091"
2,"1-6 times per year",1159,2241,""
3,"7-11 times per year",820,3061,""
4,"1 time per month",724,3785,""
5,"2-3 times per month",1065,4850,""
6,"1 time per week",505,5355,""
7,"2 times per week",321,5676,""
8,"3-4 times per week",177,5853,""
9,"5-6 times per week",29,5882,""
10,"1 time per day",31,5913,""
11,"2 or more times per day",13,5926,""
88,"Blank",72,5998,""
99,"Error",15,6013,""
