"FFQ0028.Code.or.Value","FFQ0028.Value.Description","FFQ0028.Count","FFQ0028.Cumulative","FFQ0028.Skip.to.Item"
1,"never",1962,1962,NA
2,"1-6 times per year",996,2958,NA
3,"7-11 times per year",453,3411,NA
4,"1 time per month",421,3832,NA
5,"2-3 times per month",801,4633,NA
6,"1 time per week",407,5040,NA
7,"2 times per week",390,5430,NA
8,"3-4 times per week",275,5705,NA
9,"5-6 times per week",112,5817,NA
10,"1 time per day",66,5883,NA
11,"2 or more times per day",30,5913,NA
88,"Blank",80,5993,NA
99,"Error",20,6013,NA
