"FFQ0103.Code.or.Value","FFQ0103.Value.Description","FFQ0103.Count","FFQ0103.Cumulative","FFQ0103.Skip.to.Item"
1,"never",1172,1172,"FFQ0104"
2,"1-6 times per year",1002,2174,""
3,"7-11 times per year",699,2873,""
4,"1 time per month",703,3576,""
5,"2-3 times per month",1102,4678,""
6,"1 time per week",558,5236,""
7,"2 times per week",395,5631,""
8,"3-4 times per week",173,5804,""
9,"5-6 times per week",42,5846,""
10,"1 time per day",53,5899,""
11,"2 or more times per day",15,5914,""
88,"Blank",91,6005,""
99,"Error",8,6013,""
