"FFQ0095.Code.or.Value","FFQ0095.Value.Description","FFQ0095.Count","FFQ0095.Cumulative","FFQ0095.Skip.to.Item"
1,"never",2773,2773,NA
2,"1-6 times per year",1069,3842,NA
3,"7-11 times per year",604,4446,NA
4,"1 time per month",541,4987,NA
5,"2-3 times per month",519,5506,NA
6,"1 time per week",234,5740,NA
7,"2 times per week",104,5844,NA
8,"3-4 times per week",50,5894,NA
9,"5-6 times per week",12,5906,NA
10,"1 time per day",15,5921,NA
11,"2 or more times per day",6,5927,NA
88,"Blank",81,6008,NA
99,"Error",5,6013,NA
