"FFQ0088.Code.or.Value","FFQ0088.Value.Description","FFQ0088.Count","FFQ0088.Cumulative","FFQ0088.Skip.to.Item"
1,"never",4390,4390,NA
2,"1-6 times per year",916,5306,NA
3,"7-11 times per year",201,5507,NA
4,"1 time per month",216,5723,NA
5,"2-3 times per month",102,5825,NA
6,"1 time per week",51,5876,NA
7,"2 times per week",27,5903,NA
8,"3-4 times per week",17,5920,NA
9,"5-6 times per week",8,5928,NA
10,"1 time per day",7,5935,NA
11,"2 or more times per day",1,5936,NA
88,"Blank",71,6007,NA
99,"Error",6,6013,NA
