"FFQ0049.Code.or.Value","FFQ0049.Value.Description","FFQ0049.Count","FFQ0049.Cumulative","FFQ0049.Skip.to.Item"
1,"never",308,308,NA
2,"1-6 times per year",596,904,NA
3,"7-11 times per year",646,1550,NA
4,"1 time per month",676,2226,NA
5,"2-3 times per month",1416,3642,NA
6,"1 time per week",821,4463,NA
7,"2 times per week",749,5212,NA
8,"3-4 times per week",459,5671,NA
9,"5-6 times per week",120,5791,NA
10,"1 time per day",76,5867,NA
11,"2 or more times per day",20,5887,NA
88,"Blank",107,5994,NA
99,"Error",19,6013,NA
