"FFQ0062.Code.or.Value","FFQ0062.Value.Description","FFQ0062.Count","FFQ0062.Cumulative","FFQ0062.Skip.to.Item"
1,"never",1895,1895,NA
2,"1-6 times per year",1720,3615,NA
3,"7-11 times per year",735,4350,NA
4,"1 time per month",622,4972,NA
5,"2-3 times per month",576,5548,NA
6,"1 time per week",205,5753,NA
7,"2 times per week",115,5868,NA
8,"3-4 times per week",42,5910,NA
9,"5-6 times per week",12,5922,NA
10,"1 time per day",21,5943,NA
11,"2 or more times per day",9,5952,NA
88,"Blank",52,6004,NA
99,"Error",9,6013,NA
