"FFQ0132.Code.or.Value","FFQ0132.Value.Description","FFQ0132.Count","FFQ0132.Cumulative","FFQ0132.Skip.to.Item"
1,"never",1838,1838,"FFQ0133"
2,"1-6 times per year",631,2469,""
3,"7-11 times per year",407,2876,""
4,"1 time per month",368,3244,""
5,"2-3 times per month",669,3913,""
6,"1 time per week",449,4362,""
7,"2 times per week",521,4883,""
8,"3-4 times per week",447,5330,""
9,"5-6 times per week",205,5535,""
10,"1 time per day",248,5783,""
11,"2 or more times per day",100,5883,""
88,"Blank",119,6002,""
99,"Error",11,6013,""
