"FFQ0138.Code.or.Value","FFQ0138.Value.Description","FFQ0138.Count","FFQ0138.Cumulative","FFQ0138.Skip.to.Item"
1,"never",2267,2267,"FFQ0139"
2,"1-6 times per year",1031,3298,""
3,"7-11 times per year",602,3900,""
4,"1 time per month",507,4407,""
5,"2-3 times per month",744,5151,""
6,"1 time per week",303,5454,""
7,"2 times per week",223,5677,""
8,"3-4 times per week",74,5751,""
9,"5-6 times per week",26,5777,""
10,"1 time per day",18,5795,""
11,"2 or more times per day",5,5800,""
88,"Blank",203,6003,""
99,"Error",10,6013,""
