Variable	Table	SourceTermID	SourceTerm	MappedTermLabel	MappedTermCURIE	MappedTermIRI	MappingScore	Ontology
AAXRMDES	ALDUST_D	AAXRMDES-ALDUST_D	Room Description	Product Description/Appearance	NCIT:C138990	http://purl.obolibrary.org/obo/NCIT_C138990	0.803	NCIT
AAXRMHUM	ALDUST_D	AAXRMHUM-ALDUST_D	Room Humidity (%)	Humidity	NCIT:C88206	http://purl.obolibrary.org/obo/NCIT_C88206	0.787	NCIT
AAXRMTMP	ALDUST_D	AAXRMTMP-ALDUST_D	Room Temperature (F)	Specimen at Room Temperature	NCIT:C70719	http://purl.obolibrary.org/obo/NCIT_C70719	0.955	NCIT
ACD010C	ACQ	ACD010C-ACQ	Other language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD010C	ACQ_B	ACD010C-ACQ_B	Other language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD010C	ACQ_C	ACD010C-ACQ_C	Other language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD010C	ACQ_D	ACD010C-ACQ_D	Other language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD010C	ACQ_E	ACD010C-ACQ_E	Other language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD010C	ACQ_F	ACD010C-ACQ_F	Other language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD040	ACQ	ACD040-ACQ	Language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD040	ACQ_B	ACD040-ACQ_B	Language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
ACD040	ACQ_C	ACD040-ACQ_C	Language(s) usually spoken at home	Primary Language Spoken	NCIT:C132459	http://purl.obolibrary.org/obo/NCIT_C132459	0.738	NCIT
