Variable	Table	SourceTermID	SourceTerm	MappedTermLabel	MappedTermIRI	MappingScore	Ontology	Comments
OHAEXSTS	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHAEXSTS	Overall Oral Health Exam Status	dental exam	http://purl.obolibrary.org/obo/OHD_0000019	0.35	OHD	
OHASCST3	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHASCST3	Dentition Status Code	Status Code	http://purl.obolibrary.org/obo/NCIT_C164628	0.71	NCIT	
OHX01TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX01TC	Tooth Count: #1	Tooth 1	http://purl.obolibrary.org/obo/NCIT_C94579	0.78	NCIT	
OHX02CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX02CTC	Coronal Caries: Tooth count #2	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.46	OHD	
OHX02DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX02DI	Fluorosis DI: #2	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.87	NCIT	
OHX02SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX02SE	Dental Sealants: #2	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.68	NCIT	
OHX02TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX02TC	Tooth Count: #2	Tooth 2	http://purl.obolibrary.org/obo/NCIT_C94584	0.78	NCIT	
OHX03CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX03CTC	Coronal Caries: Tooth count #3	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.46	OHD	
OHX03DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX03DI	Fluorosis DI: #3	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.86	NCIT	
OHX03SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX03SE	Dental Sealants: #3	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.67	NCIT	
OHX04CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX04CTC	Coronal Caries: Tooth count #4	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.46	OHD	
OHX04DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX04DI	Fluorosis DI: #4	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.86	NCIT	
OHX04SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX04SE	Dental Sealants: #4	Sealant (substance)	http://snomed.info/id/311899008	0.5	SNOMED	
OHX05CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX05CTC	Coronal Caries: Tooth count #5	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.46	OHD	
OHX05DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX05DI	Fluorosis DI: #5	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.86	NCIT	
OHX05SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX05SE	Dental Sealants: #5	Sealant (substance)	http://snomed.info/id/311899008	0.5	SNOMED	
OHX06CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX06CTC	Coronal Caries: Tooth count #6	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.46	OHD	
OHX06DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX06DI	Fluorosis DI: #6	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.85	NCIT	
OHX07DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX07DI	Fluorosis DI: #7	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.84	NCIT	
OHX07SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX07SE	Dental Sealants: #7	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.66	NCIT	
OHX07TR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX07TR	Incisor Trauma: #7	Incisor	http://purl.obolibrary.org/obo/NCIT_C32769	0.68	NCIT	
OHX08CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX08CTC	Coronal Caries: Tooth count #8	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.45	OHD	
OHX08DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX08DI	Fluorosis DI: #8	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.84	NCIT	
OHX08TR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX08TR	Incisor Trauma: #8	Traumatized incisor (disorder)	http://snomed.info/id/404199004	0.68	SNOMED	
OHX09DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX09DI	Fluorosis DI: #9	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.84	NCIT	
OHX09TR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX09TR	Incisor Trauma: #9	Traumatized incisor (disorder)	http://snomed.info/id/404199004	0.68	SNOMED	
OHX10CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX10CTC	Coronal Caries: Tooth count #10	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.44	OHD	
