Variable,Table,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score,Tags,Ontology
AAXRMDES,ALDUST_D,Room Description,Product Description/Appearance,NCIT:C138990,http://purl.obolibrary.org/obo/NCIT_C138990,0.8023682597825946,,NCIT
AAXRMTMP,ALDUST_D,Room Temperature (F),Specimen at Room Temperature,NCIT:C70719,http://purl.obolibrary.org/obo/NCIT_C70719,0.9493213225366746,,NCIT
ACQ020,ACQ,Language(s) read and spoken,Spoken Language,NCIT:C51277,http://purl.obolibrary.org/obo/NCIT_C51277,0.9137420077683936,,NCIT
ACQ020,ACQ_B,Language(s) read and spoken,Spoken Language,NCIT:C51277,http://purl.obolibrary.org/obo/NCIT_C51277,0.9137420077683936,,NCIT
ACQ020,ACQ_C,Language(s) read and spoken,Spoken Language,NCIT:C51277,http://purl.obolibrary.org/obo/NCIT_C51277,0.9137420077683936,,NCIT
ACQ020,ACQ,Reported serving size/label serving size,serving size,FOODON:00003334,http://purl.obolibrary.org/obo/FOODON_00003334,0.8787009361433088,,FOODON
ACQ020,ACQ_C,Aspartate Aminotransferase (AST) (U/L),aspartate aminotransferase measurement,EFO:0004736,http://www.ebi.ac.uk/efo/EFO_0004736,0.8745777724772917,,EFO
ACQ020,ACQ_B,Theobromine (mg),theobromine measurement,EFO:0021179,http://www.ebi.ac.uk/efo/EFO_0021179,0.8382244581520426,,EFO
ACQ020,ACQ,Reader 6 psoriasis,psoriasis,EFO:0000676,http://www.ebi.ac.uk/efo/EFO_0000676,0.8063954241113354,,EFO
AGD020,AGQ_D,hay fever,Seasonal Allergic Rhinitis,NCIT:C92188,http://purl.obolibrary.org/obo/NCIT_C92188,0.9950384939196645,age,NCIT
AGD020,AGQ_D,hay fever,seasonal allergic rhinitis,EFO:0003956,http://www.ebi.ac.uk/efo/EFO_0003956,0.9806764267812307,age,EFO
AGD020,AGQ_D,Stage 1 rating of perceived exertion,Rating of Perceived Exertion,NCIT:C122028,http://purl.obolibrary.org/obo/NCIT_C122028,0.8818560307890945,,NCIT
AGD050,AGQ_D,allergies,Allergic Reaction,NCIT:C114476,http://purl.obolibrary.org/obo/NCIT_C114476,0.9776351718260086,age,NCIT
AGD050,AGQ_D,Stage 2 rating of perceived exertion,Rating of Perceived Exertion,NCIT:C122028,http://purl.obolibrary.org/obo/NCIT_C122028,0.8840692385366775,,NCIT
AGD050,AGQ_D,allergies,seasonal allergic rhinitis,EFO:0003956,http://www.ebi.ac.uk/efo/EFO_0003956,0.8096492168811998,age,EFO
ALQ121,ALQ_J,Past 12 mo how often have alcohol drink,How Often Have Alcoholic Drink,NCIT:C188000,http://purl.obolibrary.org/obo/NCIT_C188000,0.8397678940047733,,NCIT
