"OHX08CSC.Code.or.Value","OHX08CSC.Value.Description","OHX08CSC.Count","OHX08CSC.Cumulative","OHX08CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",422,422,NA
"0","Lingual surface caries",12,434,NA
"2","Facial surface caries",18,452,NA
"3","Mesial caries",73,525,NA
"4","Distal caries",32,557,NA
"5","Lingual surface restoration",20,577,NA
"7","Facial surface restoration",18,595,NA
"8","Mesial restoration",77,672,NA
"9","Distal restoration",77,749,NA
"< blank >","Missing",7838,8587,NA
