"OHX19RSC.Code.or.Value","OHX19RSC.Value.Description","OHX19RSC.Count","OHX19RSC.Cumulative","OHX19RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #19","Value was recorded",12,12,NA
"0","lingual AMALGAM restoration",0,12,NA
"1","occlusal AMALGAM restoration",3,15,NA
"2","facial AMALGAM restoration",5,20,NA
"3","mesial AMALGAM restoration",0,20,NA
"4","distal AMALGAM restoration",1,21,NA
"5","lingual OTHER restoration",0,21,NA
"6","occlusal OTHER restoration",1,22,NA
"7","facial OTHER restoration",2,24,NA
"8","mesial OTHER restoration",0,24,NA
"9","distal OTHER restoration",0,24,NA
"-1","Crown (non-specific full-coverage restoration)",0,24,NA
"< blank >","Missing",8342,8366,NA
