"OHX05CSC.Code.or.Value","OHX05CSC.Value.Description","OHX05CSC.Count","OHX05CSC.Cumulative","OHX05CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1011,1011,NA
"0","Lingual surface caries",4,1015,NA
"1","Occlusal/incisal caries",36,1051,NA
"2","Facial surface caries",4,1055,NA
"3","Mesial caries",7,1062,NA
"4","Distal caries",47,1109,NA
"5","Lingual surface restoration",0,1109,NA
"6","Occlusal/incisal restoration",261,1370,NA
"7","Facial surface restoration",15,1385,NA
"8","Mesial restoration",1,1386,NA
"9","Distal restoration",4,1390,NA
"< blank >","Missing",7457,8847,NA
