"MCQ230a.Code.or.Value","MCQ230a.Value.Description","MCQ230a.Count","MCQ230a.Cumulative","MCQ230a.Skip.to.Item"
"10","Bladder",21,21,NA
"11","Blood",2,23,NA
"12","Bone",1,24,NA
"13","Brain",0,24,NA
"14","Breast",85,109,NA
"15","Cervix (cervical)",20,129,NA
"16","Colon",31,160,NA
"17","Esophagus (esophageal)",2,162,NA
"18","Gallbladder",0,162,NA
"19","Kidney",5,167,NA
"20","Larynx/ windpipe",0,167,NA
"21","Leukemia",12,179,NA
"22","Liver",4,183,NA
"23","Lung",14,197,NA
"24","Lymphoma/ Hodgkin's disease",10,207,NA
"25","Melanoma",38,245,NA
"26","Mouth/tongue/lip",3,248,NA
"27","Nervous system",0,248,NA
"28","Ovary (ovarian)",14,262,NA
"29","Pancreas (pancreatic)",2,264,NA
"30","Prostate",92,356,NA
"31","Rectum (rectal)",2,358,NA
"32","Skin (non-melanoma)",75,433,NA
"33","Skin (don't know what kind)",48,481,NA
"34","Soft tissue (muscle or fat)",0,481,NA
"35","Stomach",4,485,NA
"36","Testis (testicular)",4,489,NA
"37","Thyroid",11,500,NA
"38","Uterus (uterine)",25,525,NA
"39","Other",23,548,NA
"66","More than 3 kinds",0,548,NA
"77","Refused",0,548,NA
"99","Don't know",1,549,NA
".","Missing",9026,9575,NA
