"OHX30CTC.Code.or.Value","OHX30CTC.Value.Description","OHX30CTC.Count","OHX30CTC.Cumulative","OHX30CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",1010,1010,NA
"J","Permanent root tip is present but no restorative replacement is present",96,1106,NA
"K","Primary tooth with surface condition (s)",0,1106,NA
"M","Missing due to other causes",1,1107,NA
"P","Missing due to dental disease, but replaced by a removable restoration",543,1650,NA
"Q","Missing due to other causes, but replaced by a removable restoration",0,1650,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",140,1790,NA
"S","Sound permanent tooth",2751,4541,NA
"T","Permanent root tip is present but a restorative replacement is present",1,4542,NA
"U","Unerupted",1166,5708,NA
"X","Missing due to other causes, but replaced  by a fixed restoration",0,5708,NA
"Y","Tooth present, condition cannot be assessed",53,5761,NA
"Z","Permanent tooth with surface condition (s)",2680,8441,NA
"< blank >","Missing",515,8956,NA
