"DR2HELPD.Code.or.Value","DR2HELPD.Value.Description","DR2HELPD.Count","DR2HELPD.Cumulative","DR2HELPD.Skip.to.Item"
"1","SP",270,270,NA
"2","Mother of SP",198,468,NA
"3","Father of SP",32,500,NA
"4","Wife of SP",83,583,NA
"5","Husband of SP",17,600,NA
"6","Daughter of SP",7,607,NA
"7","Son of SP",2,609,NA
"8","Grandparent of SP",5,614,NA
"9","Friend, Partner, Non Relative",3,617,NA
"10","Translator, not a HH member",4,621,NA
"11","Child care provider, Caretaker",6,627,NA
"12","Other Relative",24,651,NA
"13","No one",6935,7586,NA
"14","Other specify",0,7586,NA
"77","Refused",0,7586,NA
"99","Don't know",2,7588,NA
".","Missing",1750,9338,NA
