"OHX02CTC.Code.or.Value","OHX02CTC.Value.Description","OHX02CTC.Count","OHX02CTC.Cumulative","OHX02CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",731,731,NA
"J","Permanent root tip is present but no restorative replacement is present",78,809,NA
"K","Primary tooth with surface condition (s)",0,809,NA
"M","Missing due to other causes",5,814,NA
"P","Missing due to dental disease but replaced by a removable restoration",615,1429,NA
"Q","Missing due to other causes but replaced by a removable restoration",1,1430,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",14,1444,NA
"S","Sound permanent tooth",2633,4077,NA
"T","Permanent root tip is present but a restorative replacement is present",1,4078,NA
"U","Unerupted",2327,6405,NA
"X","Missing due to other causes, but replaced  by a fixed restoration",0,6405,NA
"Y","Tooth present, condition cannot be assessed",22,6427,NA
"Z","Permanent tooth with surface condition (s)",2014,8441,NA
"< blank >","Missing",515,8956,NA
