"DR2MRESP.Code.or.Value","DR2MRESP.Value.Description","DR2MRESP.Count","DR2MRESP.Cumulative","DR2MRESP.Skip.to.Item"
"1","SP",5051,5051,NA
"2","Mother of SP",1297,6348,NA
"3","Father of SP",133,6481,NA
"5","Spouse of SP",30,6511,NA
"6","Child of SP",29,6540,NA
"7","Grandparent of SP",57,6597,NA
"8","Friend, Partner, Non Relative",2,6599,NA
"9","Translator, not a HH member",0,6599,NA
"10","Child care provider, Caretaker",13,6612,NA
"11","Other Relative",26,6638,NA
"77","Refused",0,6638,NA
"99","Don't know",1,6639,NA
".","Missing",2065,8704,NA
