"OHX27CTC.Code.or.Value","OHX27CTC.Value.Description","OHX27CTC.Count","OHX27CTC.Cumulative","OHX27CTC.Skip.to.Item"
"D","Sound primary tooth",1761,1761,NA
"E","Missing due to dental disease",124,1885,NA
"J","Permanent root tip is present but no restorative replacement is present",31,1916,NA
"K","Primary tooth with surface condition (s)",18,1934,NA
"M","Missing due to other causes",5,1939,NA
"P","Missing due to dental disease, but replaced by a removable restoration",330,2269,NA
"Q","Missing due to other causes, but replaced by a removable restoration",0,2269,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",4,2273,NA
"S","Sound permanent tooth",5604,7877,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7878,NA
"U","Unerupted",172,8050,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,8051,NA
"Y","Tooth present, condition cannot be assessed",142,8193,NA
"Z","Permanent tooth with surface condition (s)",248,8441,NA
"< blank >","Missing",515,8956,NA
