"DSD122U.Code.or.Value","DSD122U.Value.Description","DSD122U.Count","DSD122U.Cumulative","DSD122U.Skip.to.Item"
"1","TABLETS, CAPSULES, PILLS, CAPLETS, SOFTGELS, GEL CAPS, VEGICAPS, CHEWABLE TABLETS",7516,7516,NA
"2","Droppers",10,7526,NA
"3","Drops",15,7541,NA
"5","Injections/shots",0,7541,NA
"6","LOZENGES/COUGH DROPS",22,7563,NA
"7","Milliliters",102,7665,NA
"11","Tablespoons",34,7699,NA
"12","Teaspoons",93,7792,NA
"13","Wafers",20,7812,NA
"15","Cans",0,7812,NA
"16","Grams",16,7828,NA
"17","Dots",0,7828,NA
"18","Cups",1,7829,NA
"19","Sprays/Squirts",1,7830,NA
"20","CHEWS/GUMMIES",986,8816,NA
"21","Scoop",61,8877,NA
"22","CC",0,8877,NA
"23","Capful",8,8885,NA
"27","Ounces",31,8916,NA
"28","Packages/Packets",91,9007,NA
"29","Vial",0,9007,NA
"30","Gumball",0,9007,NA
"31","Strips",0,9007,NA
"32","Bottle",1,9008,NA
"77","Refused",1,9009,NA
"99","Don't Know",0,9009,NA
".","Missing",108,9117,NA
