"OHX20CSC.Code.or.Value","OHX20CSC.Value.Description","OHX20CSC.Count","OHX20CSC.Cumulative","OHX20CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #20","Value was recorded",648,648,NA
"0","Lingual AMALGAM restoration",0,648,NA
"1","Occlusal AMALGAM restoration",257,905,NA
"2","Facial AMALGAM restoration",7,912,NA
"3","Mesial AMALGAM restoration",1,913,NA
"4","Distal AMALGAM restoration",0,913,NA
"5","Lingual OTHER restoration",0,913,NA
"6","Occlusal OTHER restoration",174,1087,NA
"7","Facial OTHER restoration",4,1091,NA
"8","Mesial OTHER restoration",0,1091,NA
"9","Distal OTHER restoration",1,1092,NA
"-1","Crown (non-specific full-coverage restoration)",456,1548,NA
"-4","Lingual caries",2,1550,NA
"-5","Occlusal caries",29,1579,NA
"-6","Facial caries",9,1588,NA
"-7","Mesial caries",10,1598,NA
"-8","Distal caries",19,1617,NA
"< blank >","Missing",6749,8366,NA
