"DSD122U.Code.or.Value","DSD122U.Value.Description","DSD122U.Count","DSD122U.Cumulative","DSD122U.Skip.to.Item"
"1","TABLETS, CAPSULES, PILLS, CAPLETS, SOFTGELS, GEL CAPS, VEGICAPS, CHEWABLE TABLETS",7146,7146,NA
"2","Droppers",13,7159,NA
"3","Drops",20,7179,NA
"5","Injections/shots",0,7179,NA
"6","LOZENGES/COUGH DROPS",4,7183,NA
"7","Milliliters",111,7294,NA
"11","Tablespoons",26,7320,NA
"12","Teaspoons",110,7430,NA
"13","Wafers",8,7438,NA
"15","Cans",0,7438,NA
"16","Grams",12,7450,NA
"17","Dots",1,7451,NA
"18","Cups",0,7451,NA
"19","Sprays/Squirts",0,7451,NA
"20","CHEWS/GUMMIES",600,8051,NA
"21","Scoop",22,8073,NA
"22","CC",0,8073,NA
"23","Capful",17,8090,NA
"27","Ounces",4,8094,NA
"28","Packages/Packets",62,8156,NA
"29","Vial",0,8156,NA
"30","Gumball",0,8156,NA
"31","Strips",0,8156,NA
"32","Bottle",1,8157,NA
"77","REFUSED",0,8157,NA
"99","DONT KNOW",1,8158,NA
".","Missing",111,8269,NA
