"FFQ0039.Code.or.Value","FFQ0039.Value.Description","FFQ0039.Count","FFQ0039.Cumulative","FFQ0039.Skip.to.Item"
1,"never",1138,1138,NA
2,"1-6 times per year",484,1622,NA
3,"7-11 times per year",332,1954,NA
4,"1 time per month",266,2220,NA
5,"2-3 times per month",703,2923,NA
6,"1 time per week",544,3467,NA
7,"2 times per week",597,4064,NA
8,"3-4 times per week",914,4978,NA
9,"5-6 times per week",495,5473,NA
10,"1 time per day",335,5808,NA
11,"2 or more times per day",105,5913,NA
88,"Blank",80,5993,NA
99,"Error",20,6013,NA
