"PFQ063D.Code.or.Value","PFQ063D.Value.Description","PFQ063D.Count","PFQ063D.Cumulative","PFQ063D.Skip.to.Item"
"10","Arthritis/rheumatism",11,11,NA
"11","Back or neck problem",7,18,NA
"12","Birth defect",2,20,NA
"13","Cancer",2,22,NA
"14","Depression/anxiety/emotional problem",25,47,NA
"15","Other developmental problem (such as cerebral palsy)",3,50,NA
"16","Diabetes",40,90,NA
"17","Fractures, bone/joint injury",54,144,NA
"18","Hearing problem",57,201,NA
"19","Heart problem",52,253,NA
"20","Hypertension/high blood pressure",134,387,NA
"21","Lung/breathing problem",60,447,NA
"22","Mental retardation",1,448,NA
"23","Other injury",12,460,NA
"24","Senility",5,465,NA
"25","Stroke problem",11,476,NA
"26","Vision/problem seeing",87,563,NA
"27","Weight problem",56,619,NA
"28","Other impairment/problem",43,662,NA
"77","Refused",0,662,NA
"99","Don't know",0,662,NA
".","Missing",8329,8991,NA
