"FFQ0021A.Code.or.Value","FFQ0021A.Value.Description","FFQ0021A.Count","FFQ0021A.Cumulative","FFQ0021A.Skip.to.Item"
1,"never",217,217,NA
2,"1-6 times per season",1357,1574,NA
3,"7-11 times per season",673,2247,NA
4,"1 time per month",276,2523,NA
5,"2-3 times per month",582,3105,NA
6,"1 time per week",311,3416,NA
7,"2 times per week",518,3934,NA
8,"3-4 times per week",471,4405,NA
9,"5-6 times per week",132,4537,NA
10,"1 time per day",119,4656,NA
11,"2 or more times per day",99,4755,NA
88,"Blank",1245,6000,NA
99,"Error",13,6013,NA
