"OHX10CSC.Code.or.Value","OHX10CSC.Value.Description","OHX10CSC.Count","OHX10CSC.Cumulative","OHX10CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",357,357,NA
"0","Lingual surface caries",22,379,NA
"2","Facial surface caries",13,392,NA
"3","Mesial caries",53,445,NA
"4","Distal caries",17,462,NA
"5","Lingual surface restoration",89,551,NA
"7","Facial surface restoration",20,571,NA
"8","Mesial restoration",96,667,NA
"9","Distal restoration",32,699,NA
"< blank >","Missing",7888,8587,NA
