"OHD18CSC.Code.or.Value","OHD18CSC.Value.Description","OHD18CSC.Count","OHD18CSC.Cumulative","OHD18CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1367,1367,NA
"0","Lingual surface caries",0,1367,NA
"1","Occlusal/incisal caries",131,1498,NA
"2","Facial surface caries",35,1533,NA
"3","Mesial caries",2,1535,NA
"4","Distal caries",0,1535,NA
"5","Lingual surface restoration",0,1535,NA
"6","Occlusal/incisal restoration",919,2454,NA
"7","Facial surface restoration",63,2517,NA
"8","Mesial restoration",1,2518,NA
"9","Distal restoration",0,2518,NA
"< blank >","Missing",7080,9598,NA
