"FFQ0007.Code.or.Value","FFQ0007.Value.Description","FFQ0007.Count","FFQ0007.Cumulative","FFQ0007.Skip.to.Item"
1,"never",998,998,"FFQ0008"
2,"1 time per month or less",730,1728,""
3,"2-3 times per month",779,2507,""
4,"1-2 times per week",726,3233,""
5,"3-4 times per week",632,3865,""
6,"5-6 times per week",473,4338,""
7,"1 time per day",864,5202,""
8,"2-3 times per day",915,6117,""
9,"4-5 times per day",162,6279,""
10,"6 or more times per day",55,6334,""
88,"Blank",88,6422,""
99,"Error",50,6472,""
