"OHX03RSC.Code.or.Value","OHX03RSC.Value.Description","OHX03RSC.Count","OHX03RSC.Cumulative","OHX03RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #3","Value was recorded",16,16,NA
"0","lingual AMALGAM restoration",3,19,NA
"1","occlusal AMALGAM restoration",7,26,NA
"2","facial AMALGAM restoration",0,26,NA
"3","mesial AMALGAM restoration",1,27,NA
"4","distal AMALGAM restoration",0,27,NA
"5","lingual OTHER restoration",2,29,NA
"6","occlusal OTHER restoration",1,30,NA
"7","facial OTHER restoration",0,30,NA
"8","mesial OTHER restoration",1,31,NA
"9","distal OTHER restoration",0,31,NA
"-1","Crown (non-specific full-coverage restoration)",2,33,NA
"< blank >","Missing",9132,9165,NA
