"OHX21RSC.Code.or.Value","OHX21RSC.Value.Description","OHX21RSC.Count","OHX21RSC.Cumulative","OHX21RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #21","Value was recorded",2,2,NA
"0","lingual AMALGAM restoration",0,2,NA
"1","occlusal AMALGAM restoration",4,6,NA
"2","facial AMALGAM restoration",0,6,NA
"3","mesial AMALGAM restoration",0,6,NA
"4","distal AMALGAM restoration",1,7,NA
"5","lingual OTHER restoration",0,7,NA
"6","occlusal OTHER restoration",1,8,NA
"7","facial OTHER restoration",4,12,NA
"8","mesial OTHER restoration",1,13,NA
"9","distal OTHER restoration",0,13,NA
"-1","Crown (non-specific full-coverage restoration)",0,13,NA
"< blank >","Missing",9152,9165,NA
