"DR2MNRSP.Code.or.Value","DR2MNRSP.Value.Description","DR2MNRSP.Count","DR2MNRSP.Cumulative","DR2MNRSP.Skip.to.Item"
"1","SP",6132,6132,NA
"2","Mother of SP",1914,8046,NA
"3","Father of SP",159,8205,NA
"4","Wife of SP",57,8262,NA
"5","Husband of SP",8,8270,NA
"6","Daughter of SP",39,8309,NA
"7","Son of SP",4,8313,NA
"8","Grandparent of SP",32,8345,NA
"9","Friend, Partner, Non Relative",3,8348,NA
"10","Translator, not a HH member",0,8348,NA
"11","Child care provider, Caretaker",11,8359,NA
"12","Other Relative",43,8402,NA
"13","Other specify",0,8402,NA
"77","Refused",0,8402,NA
"99","Don't know",0,8402,NA
".","Missing",1851,10253,NA
