"FFQ0117.Code.or.Value","FFQ0117.Value.Description","FFQ0117.Count","FFQ0117.Cumulative","FFQ0117.Skip.to.Item"
1,"never",1973,1973,NA
2,"1-6 times per year",1420,3393,NA
3,"7-11 times per year",654,4047,NA
4,"1 time per month",604,4651,NA
5,"2-3 times per month",607,5258,NA
6,"1 time per week",320,5578,NA
7,"2 times per week",223,5801,NA
8,"3-4 times per week",64,5865,NA
9,"5-6 times per week",22,5887,NA
10,"1 time per day",37,5924,NA
11,"2 or more times per day",12,5936,NA
88,"Blank",66,6002,NA
99,"Error",11,6013,NA
