"OHX19CSC.Code.or.Value","OHX19CSC.Value.Description","OHX19CSC.Count","OHX19CSC.Cumulative","OHX19CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #19","Value was recorded",1901,1901,NA
"0","Lingual surface caries",0,1901,NA
"1","Occlusal/incisal caries",117,2018,NA
"2","Facial surface caries",54,2072,NA
"3","Mesial caries",3,2075,NA
"4","Distal caries",1,2076,NA
"5","Lingual surface restoration",0,2076,NA
"6","Occlusal/incisal restoration",731,2807,NA
"7","Facial surface restoration",121,2928,NA
"8","Mesial restoration",0,2928,NA
"9","Distal restoration",0,2928,NA
"< blank >","Missing",6494,9422,NA
