"OHX10CSC.Code.or.Value","OHX10CSC.Value.Description","OHX10CSC.Count","OHX10CSC.Cumulative","OHX10CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",435,435,NA
"0","Lingual surface caries",37,472,NA
"2","Facial surface caries",24,496,NA
"3","Mesial caries",92,588,NA
"4","Distal caries",32,620,NA
"5","Lingual surface restoration",101,721,NA
"7","Facial surface restoration",40,761,NA
"8","Mesial restoration",132,893,NA
"9","Distal restoration",40,933,NA
"< blank >","Missing",7914,8847,NA
