"OHX31CTC.Code.or.Value","OHX31CTC.Value.Description","OHX31CTC.Count","OHX31CTC.Cumulative","OHX31CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",990,990,NA
"F","Permanent tooth with a restored surface condition",2051,3041,NA
"J","Permanent root tip is present but no restorative replacement is present",80,3121,NA
"K","Primary tooth with a dental carious surface condition",0,3121,NA
"M","Missing due to other causes",17,3138,NA
"P","Missing due to dental disease but replaced by a removable restoration",553,3691,NA
"Q","Missing due to other causes but replaced by a removable restoration",20,3711,NA
"R","Missing due to dental disease but replaced by a fixed restoration",33,3744,NA
"S","Sound permanent tooth",2346,6090,NA
"T","Permanent root tip is present but a restorative replacement is present",0,6090,NA
"U","Unerupted",1832,7922,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,7922,NA
"Y","Tooth present, condition cannot be assessed",1,7923,NA
"Z","Permanent tooth with a dental carious surface condition",176,8099,NA
"< blank >","Missing",267,8366,NA
