"FFQ0081.Code.or.Value","FFQ0081.Value.Description","FFQ0081.Count","FFQ0081.Cumulative","FFQ0081.Skip.to.Item"
1,"never",1462,1462,NA
2,"1-6 times per year",1756,3218,NA
3,"7-11 times per year",951,4169,NA
4,"1 time per month",795,4964,NA
5,"2-3 times per month",802,5766,NA
6,"1 time per week",297,6063,NA
7,"2 times per week",145,6208,NA
8,"3-4 times per week",69,6277,NA
9,"5-6 times per week",26,6303,NA
10,"1 time per day",12,6315,NA
11,"2 or more times per day",8,6323,NA
88,"Blank",123,6446,NA
99,"Error",26,6472,NA
