"OHX22CSC.Code.or.Value","OHX22CSC.Value.Description","OHX22CSC.Count","OHX22CSC.Cumulative","OHX22CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",131,131,NA
"0","Lingual surface caries",2,133,NA
"2","Facial surface caries",32,165,NA
"3","Mesial caries",9,174,NA
"4","Distal caries",26,200,NA
"5","Lingual surface restoration",3,203,NA
"7","Facial surface restoration",48,251,NA
"8","Mesial restoration",14,265,NA
"9","Distal restoration",34,299,NA
"< blank >","Missing",8548,8847,NA
