"OHX10CTC.Code.or.Value","OHX10CTC.Value.Description","OHX10CTC.Count","OHX10CTC.Cumulative","OHX10CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",40,40,NA
"D","Sound primary tooth",1376,1416,NA
"E","Missing due to dental disease",126,1542,NA
"F","Permanent tooth with a restored surface condition",558,2100,NA
"J","Permanent root tip is present but no restorative replacement is present",39,2139,NA
"K","Primary tooth with a dental carious surface condition",29,2168,NA
"M","Missing due to other causes",25,2193,NA
"P","Missing due to dental disease but replaced by a removable restoration",624,2817,NA
"Q","Missing due to other causes but replaced by a removable restoration",48,2865,NA
"R","Missing due to dental disease but replaced by a fixed restoration",66,2931,NA
"S","Sound permanent tooth",5454,8385,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8386,NA
"U","Unerupted",132,8518,NA
"X","Missing due to other causes but replaced by a fixed restoration",8,8526,NA
"Y","Tooth present, condition cannot be assessed",151,8677,NA
"Z","Permanent tooth with a dental carious surface condition",181,8858,NA
"< blank >","Missing",307,9165,NA
