"OHX25CTC.Code.or.Value","OHX25CTC.Value.Description","OHX25CTC.Count","OHX25CTC.Cumulative","OHX25CTC.Skip.to.Item"
"D","Sound primary tooth",663,663,NA
"E","Missing due to dental disease",145,808,NA
"K","Primary tooth with surface condition (s)",5,813,NA
"M","Missing due to other causes",8,821,NA
"R","Missing due to dental disease but replaced",552,1373,NA
"S","Sound permanent tooth",6522,7895,NA
"U","Unerupted",7,7902,NA
"X","Missing due to other causes but replaced",22,7924,NA
"Y","Tooth present, condition cannot be assessed",21,7945,NA
"Z","Permanent tooth with surface condition (s)",97,8042,NA
"< blank >","Missing",545,8587,NA
