"OHX14RSC.Code.or.Value","OHX14RSC.Value.Description","OHX14RSC.Count","OHX14RSC.Cumulative","OHX14RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #14","Value was recorded",13,13,NA
"0","lingual AMALGAM restoration",3,16,NA
"1","occlusal AMALGAM restoration",3,19,NA
"2","facial AMALGAM restoration",0,19,NA
"3","mesial AMALGAM restoration",0,19,NA
"4","distal AMALGAM restoration",1,20,NA
"5","lingual OTHER restoration",0,20,NA
"6","occlusal OTHER restoration",1,21,NA
"7","facial OTHER restoration",0,21,NA
"8","mesial OTHER restoration",0,21,NA
"9","distal OTHER restoration",1,22,NA
"-1","Crown (non-specific full-coverage restoration)",0,22,NA
"< blank >","Missing",8344,8366,NA
