"FFQ0077.Code.or.Value","FFQ0077.Value.Description","FFQ0077.Count","FFQ0077.Cumulative","FFQ0077.Skip.to.Item"
1,"never",933,933,"FFQ0078"
2,"1-6 times per year",1113,2046,""
3,"7-11 times per year",832,2878,""
4,"1 time per month",932,3810,""
5,"2-3 times per month",1339,5149,""
6,"1 time per week",594,5743,""
7,"2 times per week",325,6068,""
8,"3-4 times per week",152,6220,""
9,"5-6 times per week",51,6271,""
10,"1 time per day",27,6298,""
11,"2 or more times per day",20,6318,""
88,"Blank",128,6446,""
99,"Error",26,6472,""
