"OHX11CTC.Code.or.Value","OHX11CTC.Value.Description","OHX11CTC.Count","OHX11CTC.Cumulative","OHX11CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",24,24,NA
"D","Sound primary tooth",1968,1992,NA
"E","Missing due to dental disease",104,2096,NA
"F","Permanent tooth with a restored surface condition",437,2533,NA
"J","Permanent root tip is present but no restorative replacement is present",51,2584,NA
"K","Primary tooth with a dental carious surface condition",17,2601,NA
"M","Missing due to other causes",17,2618,NA
"P","Missing due to dental disease but replaced by a removable restoration",570,3188,NA
"Q","Missing due to other causes but replaced by a removable restoration",38,3226,NA
"R","Missing due to dental disease but replaced by a fixed restoration",31,3257,NA
"S","Sound permanent tooth",5212,8469,NA
"T","Permanent root tip is present but a restorative replacement is present",5,8474,NA
"U","Unerupted",193,8667,NA
"X","Missing due to other causes but replaced by a fixed restoration",1,8668,NA
"Y","Tooth present, condition cannot be assessed",74,8742,NA
"Z","Permanent tooth with a dental carious surface condition",116,8858,NA
"< blank >","Missing",307,9165,NA
