"OHX05RSC.Code.or.Value","OHX05RSC.Value.Description","OHX05RSC.Count","OHX05RSC.Cumulative","OHX05RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #5","Value was recorded",3,3,NA
"0","lingual AMALGAM restoration",0,3,NA
"1","occlusal AMALGAM restoration",4,7,NA
"2","facial AMALGAM restoration",1,8,NA
"3","mesial AMALGAM restoration",0,8,NA
"4","distal AMALGAM restoration",0,8,NA
"5","lingual OTHER restoration",0,8,NA
"6","occlusal OTHER restoration",5,13,NA
"7","facial OTHER restoration",0,13,NA
"8","mesial OTHER restoration",0,13,NA
"9","distal OTHER restoration",0,13,NA
"-1","Crown (non-specific full-coverage restoration)",0,13,NA
"< blank >","Missing",8353,8366,NA
