"FFQ0094.Code.or.Value","FFQ0094.Value.Description","FFQ0094.Count","FFQ0094.Cumulative","FFQ0094.Skip.to.Item"
1,"never",1559,1559,NA
2,"1-6 times per year",1560,3119,NA
3,"7-11 times per year",977,4096,NA
4,"1 time per month",766,4862,NA
5,"2-3 times per month",862,5724,NA
6,"1 time per week",331,6055,NA
7,"2 times per week",138,6193,NA
8,"3-4 times per week",65,6258,NA
9,"5-6 times per week",20,6278,NA
10,"1 time per day",20,6298,NA
11,"2 or more times per day",19,6317,NA
88,"Blank",125,6442,NA
99,"Error",30,6472,NA
