"FFQ0005.Code.or.Value","FFQ0005.Value.Description","FFQ0005.Count","FFQ0005.Cumulative","FFQ0005.Skip.to.Item"
1,"never",1767,1767,NA
2,"1 time per month or less",1614,3381,NA
3,"2-3 times per month",1118,4499,NA
4,"1-2 times per week",643,5142,NA
5,"3-4 times per week",432,5574,NA
6,"5-6 times per week",214,5788,NA
7,"1 time per day",267,6055,NA
8,"2-3 times per day",213,6268,NA
9,"4-5 times per day",62,6330,NA
10,"6 or more times per day",54,6384,NA
88,"Blank",51,6435,NA
99,"Error",37,6472,NA
