"OHX29CSC.Code.or.Value","OHX29CSC.Value.Description","OHX29CSC.Count","OHX29CSC.Cumulative","OHX29CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #29","Value was recorded",1218,1218,NA
"0","Lingual surface caries",1,1219,NA
"1","Occlusal/incisal caries",69,1288,NA
"2","Facial surface caries",14,1302,NA
"3","Mesial caries",4,1306,NA
"4","Distal caries",16,1322,NA
"5","Lingual surface restoration",1,1323,NA
"6","Occlusal/incisal restoration",503,1826,NA
"7","Facial surface restoration",33,1859,NA
"8","Mesial restoration",0,1859,NA
"9","Distal restoration",0,1859,NA
"< blank >","Missing",7097,8956,NA
