"DSD122U.Code.or.Value","DSD122U.Value.Description","DSD122U.Count","DSD122U.Cumulative","DSD122U.Skip.to.Item"
"1","TABLETS, CAPSULES, PILLS, CAPLETS, SOFTGELS, GEL CAPS, VEGICAPS, CHEWABLE TABLETS",7172,7172,NA
"2","Droppers",9,7181,NA
"3","Drops",11,7192,NA
"5","Injections/shots",0,7192,NA
"6","LOZENGES/COUGH DROPS",4,7196,NA
"7","Milliliters",85,7281,NA
"11","Tablespoons",48,7329,NA
"12","Teaspoons",110,7439,NA
"13","Wafers",4,7443,NA
"15","Cans",1,7444,NA
"16","Grams",5,7449,NA
"17","Dots",0,7449,NA
"18","Cups",0,7449,NA
"19","Sprays/Squirts",2,7451,NA
"20","CHEWS/GUMMIES",498,7949,NA
"21","Scoop",26,7975,NA
"22","CC",0,7975,NA
"23","Capful",15,7990,NA
"27","Ounces",23,8013,NA
"28","Packages/Packets",78,8091,NA
"29","Vial",0,8091,NA
"30","Gumball",4,8095,NA
"31","Strips",0,8095,NA
"77","REFUSED",2,8097,NA
"99","DONT KNOW",3,8100,NA
".","Missing",300,8400,NA
